MANDT,BUKRS,LIFNR,BELNR,GJAHR,AUGDT,AUGBL,DMBTR
100,1000,100002,5100000004,2026,20260321,1400000002,17365.82
100,1000,100008,5100000005,2026,20260324,1400000003,78800.99
100,1000,100006,5100000006,2026,20260319,1400000004,427.93
100,1000,100009,5100000009,2026,20260408,1400000005,64139.8
100,1000,100001,5100000010,2026,20260321,1400000006,87061.11
100,1000,100002,5100000011,2026,20260212,1400000007,20217.0
100,1000,100004,5100000012,2026,20260205,1400000008,75363.81
100,1000,100007,5100000015,2026,20260218,1400000009,135680.84
100,1000,100015,5100000016,2026,20260317,1400000010,84718.75
100,1000,100008,5100000017,2026,20260306,1400000011,6531.7
100,1000,100004,5100000018,2026,20260228,1400000012,83209.83
100,1000,100015,5100000019,2026,20260221,1400000013,49315.07
100,1000,100012,5100000020,2026,20260408,1400000014,142031.01
100,1000,100006,5100000021,2026,20260210,1400000015,110306.75
100,1000,100004,5100000022,2026,20260227,1400000016,49915.45
100,1000,100008,5100000023,2026,20260315,1400000017,61809.57
100,1000,100011,5100000024,2026,20260221,1400000018,145588.65
100,1000,100015,5100000026,2026,20260314,1400000019,56406.66
100,1000,100015,5100000027,2026,20260314,1400000020,63513.57
100,1000,100002,5100000028,2026,20260316,1400000021,62988.01
100,1000,100014,5100000029,2026,20260207,1400000022,57098.33
100,1000,100011,5100000031,2026,20260312,1400000023,64639.59
100,1000,100002,5100000032,2026,20260321,1400000024,77205.93
100,1000,100002,5100000033,2026,20260303,1400000025,123716.85
100,1000,100015,5100000034,2026,20260214,1400000026,28560.64
100,1000,100006,5100000035,2026,20260317,1400000027,27292.88
100,1000,100001,5100000036,2026,20260405,1400000028,43577.27
100,1000,100004,5100000037,2026,20260310,1400000029,77347.45
100,1000,100011,5100000039,2026,20260121,1400000030,7820.38
100,1000,100012,5100000042,2026,20260128,1400000031,141594.64
100,1000,100003,5100000044,2026,20260228,1400000032,5318.34
100,1000,100006,5100000046,2026,20260317,1400000033,19204.26
100,1000,100006,5100000047,2026,20260224,1400000034,11612.21
100,1000,100006,5100000048,2026,20260214,1400000035,148140.21
100,1000,100008,5100000049,2026,20260320,1400000036,57342.77
100,1000,100010,5100000050,2026,20260228,1400000037,1889.1
100,1000,100009,5100000051,2026,20260406,1400000038,42427.26
100,1000,100007,5100000053,2026,20260403,1400000039,55853.73
100,1000,100001,5100000054,2026,20260321,1400000040,44380.01
100,1000,100005,5100000055,2026,20260324,1400000041,41215.81
100,1000,100002,5100000058,2026,20260221,1400000042,112833.85
100,1000,100011,5100000059,2026,20260203,1400000043,69357.58
100,1000,100007,5100000061,2026,20260217,1400000044,37947.57
100,1000,100003,5100000063,2026,20260212,1400000045,45496.96
100,1000,100001,5100000064,2026,20260405,1400000046,167986.79
100,1000,100009,5100000067,2026,20260426,1400000047,23999.77
100,1000,100001,5100000070,2026,20260228,1400000048,24703.41
100,1000,100006,5100000071,2026,20260228,1400000049,29063.29
100,1000,100005,5100000072,2026,20260423,1400000050,11669.79
100,1000,100001,5100000073,2026,20260316,1400000051,22288.34
100,1000,100010,5100000074,2026,20260219,1400000052,42065.65
100,1000,100002,5100000076,2026,20260306,1400000053,30349.88
100,1000,100013,5100000078,2026,20260218,1400000054,83064.05
100,1000,100006,5100000081,2026,20260201,1400000055,983.54
100,1000,100001,5100000085,2026,20260202,1400000056,36197.43
