MANDT,EBELN,EBELP,ZEILE,VGABE,GJAHR,BELNR,BUDAT,MENGE,DMBTR,BEWTP,ERNAM
100,4500000001,00010,0001,1,2026,5000000002,20260314,19,7791.71,E,M.ROSSI
100,4500000002,00010,0001,1,2026,5000000003,20260223,143,8588.58,E,A.MORETTI
100,4500000002,00020,0001,1,2026,5000000004,20260222,53,9147.8,E,A.MORETTI
100,4500000002,00030,0001,1,2026,5000000005,20260216,85,18173.0,E,A.MORETTI
100,4500000003,00020,0001,1,2026,5000000006,20260306,175,6427.75,E,L.BIANCHI
100,4500000003,00030,0001,1,2026,5000000007,20260305,93,1671.21,E,M.ROSSI
100,4500000003,00040,0001,1,2026,5000000008,,78,5083.26,E,M.ROSSI
100,4500000004,00020,0001,1,2026,5000000009,20260314,172,52783.36,E,A.MORETTI
100,4500000005,00010,0001,1,2026,5000000010,20260216,11,429.88,E,L.BIANCHI
100,4500000006,00020,0001,1,2026,5000000011,20260126,71,16836.23,E,A.MORETTI
100,4500000006,00030,0001,1,2026,5000000012,20260205,62,17301.1,E,M.ROSSI
100,4500000007,00010,0001,1,2026,5000000013,20260122,164,72730.72,E,A.MORETTI
100,4500000007,00020,0001,1,2026,5000000014,20260124,174,10614.0,E,M.ROSSI
100,4500000007,00030,0001,1,2026,5000000015,20260123,167,25879.99,E,A.MORETTI
100,4500000008,00010,0001,1,2026,5000000016,20260301,133,15204.56,E,M.ROSSI
100,4500000008,00020,0001,1,2026,5000000017,20260303,174,46256.16,E,M.ROSSI
100,4500000008,00030,0001,1,2026,5000000018,20260307,9,3544.02,E,M.ROSSI
100,4500000009,00010,0001,1,2026,5000000019,20260228,141,51443.85,E,M.ROSSI
100,4500000009,00020,0001,1,2026,5000000020,20260306,111,6855.36,E,M.ROSSI
100,4500000010,00010,0001,1,2026,5000000021,20260128,89,21067.19,E,M.ROSSI
100,4500000010,00020,0001,1,2026,5000000022,20260129,72,9229.68,E,A.MORETTI
100,4500000010,00030,0001,1,2026,5000000023,20260128,43,10542.74,E,A.MORETTI
100,4500000010,00040,0001,1,2026,5000000024,20260208,23,2917.78,E,A.MORETTI
100,4500000011,00020,0001,1,2026,5000000025,20260131,17,1497.19,E,L.BIANCHI
100,4500000011,00030,0001,1,2026,5000000026,20260127,176,15246.88,E,A.MORETTI
100,4500000012,00010,0001,1,2026,5000000027,20260128,161,54010.67,E,A.MORETTI
100,4500000012,00020,0001,1,2026,5000000028,20260130,67,21049.39,E,M.ROSSI
100,4500000013,00010,0001,1,2026,5000000029,20260221,107,28608.59,E,M.ROSSI
100,4500000013,00020,0001,1,2026,5000000030,20260228,197,15094.14,E,M.ROSSI
100,4500000013,00030,0001,1,2026,5000000031,20260228,163,47644.9,E,A.MORETTI
100,4500000014,00010,0001,1,2026,5000000032,20260302,121,43630.18,E,L.BIANCHI
100,4500000014,00020,0001,1,2026,5000000033,20260304,24,9167.76,E,A.MORETTI
