MANDT,EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,AEDAT,ERNAM,WAERS,ZTERM,FRGKE
100,4500000001,1000,NB,100006,1010,001,20260306,A.MORETTI,EUR,0001,R
100,4500000002,1000,NB,100010,1000,002,20260211,M.ROSSI,EUR,0001,R
100,4500000003,1000,NB,100002,1010,003,20260222,L.BIANCHI,EUR,0003,R
100,4500000004,1000,NB,100008,1000,003,20260227,L.BIANCHI,EUR,0002,R
100,4500000005,1000,NB,100006,1000,001,20260212,M.ROSSI,EUR,0003,R
100,4500000006,1000,NB,100012,1000,002,20260121,A.MORETTI,EUR,0001,R
100,4500000007,1000,NB,100006,1000,001,20260110,M.ROSSI,EUR,0002,R
100,4500000008,1000,NB,100009,1010,001,20260221,M.ROSSI,EUR,0001,R
100,4500000009,1000,NB,100001,1010,001,20260222,L.BIANCHI,EUR,0003,R
100,4500000010,1000,NB,100006,1010,001,20260125,M.ROSSI,EUR,0002,B
100,4500000011,1000,NB,100002,1010,001,20260121,M.ROSSI,EUR,0002,B
100,4500000012,1000,NB,100004,1000,001,20260126,L.BIANCHI,EUR,0002,R
100,4500000013,1000,NB,100009,1000,001,20260215,A.MORETTI,EUR,0001,R
100,4500000014,1000,NB,100007,1000,002,20260227,A.MORETTI,EUR,0001,R
100,4500000015,1000,NB,100007,1000,001,20260118,A.MORETTI,EUR,0001,R
100,4500000016,1000,NB,100015,1000,002,20260201,L.BIANCHI,EUR,0001,R
100,4500000017,1000,NB,100008,1010,001,20260209,L.BIANCHI,EUR,0002,B
100,4500000018,1000,NB,100007,1000,001,20260124,M.ROSSI,EUR,0002,B
100,4500000019,1000,NB,100004,1000,002,20260129,A.MORETTI,EUR,0001,R
100,4500000020,1000,NB,100013,1000,002,20260302,A.MORETTI,EUR,0002,R
100,4500000021,1000,NB,100015,1000,003,20260125,M.ROSSI,EUR,0001,R
100,4500000022,1000,NB,100012,1000,002,20260303,A.MORETTI,EUR,0002,R
100,4500000023,1000,NB,100006,1000,002,20260115,M.ROSSI,EUR,0002,R
100,4500000024,1000,NB,100004,1000,003,20260206,A.MORETTI,EUR,0001,B
100,4500000025,1000,NB,100008,1000,002,20260212,M.ROSSI,EUR,0003,R
100,4500000026,1000,NB,100011,1010,002,20260115,L.BIANCHI,EUR,0002,R
100,4500000027,1000,NB,100010,1000,001,20260218,A.MORETTI,EUR,0002,R
