MANDT,EBELN,EBELP,MATNR,TXZ01,WERKS,MATKL,MENGE,MEINS,NETPR,PEINH,NETWR,LOEKZ
100,4500000001,00010,000000000000711097,Hydraulic Hose 1/2in,P100,ROH3,19,PC,410.09,1,7791.71,
100,4500000002,00010,000000000000251262,Servo Motor 24V,P200,ROH1,143,PC,60.06,1,8588.58,
100,4500000002,00020,000000000000769949,PLC Module CPU1214,P100,ROH2,53,PC,172.6,1,9147.8,
100,4500000002,00030,000000000000548363,Aluminium Profile 40x40,P200,ROH1,85,PC,213.8,1,18173.0,
100,4500000003,00010,000000000000935601,PLC Module CPU1214,P100,ROH2,121,PC,38.39,1,4645.19,
100,4500000003,00020,000000000000830901,Pressure Sensor 0-10bar,P200,ROH2,175,PC,36.73,1,6427.75,
100,4500000003,00030,000000000000801133,Servo Motor 24V,P200,ROH1,93,PC,17.97,1,1671.21,
100,4500000003,00040,000000000000905550,Cable Harness 3m,P100,ROH1,78,PC,65.17,1,5083.26,
100,4500000004,00010,000000000000660559,Servo Motor 24V,P200,ROH1,99,PC,277.54,1,27476.46,
100,4500000004,00020,000000000000747592,Aluminium Profile 40x40,P100,ROH1,172,PC,306.88,1,52783.36,
100,4500000005,00010,000000000000743550,Hydraulic Hose 1/2in,P100,ROH3,11,PC,39.08,1,429.88,
100,4500000006,00010,000000000000823588,Control Valve DN50,P200,ROH3,144,PC,412.05,1,59335.2,
100,4500000006,00020,000000000000830015,Bearing Kit 608ZZ,P100,ROH2,71,PC,237.13,1,16836.23,
100,4500000006,00030,000000000000767357,Hydraulic Hose 1/2in,P100,ROH3,62,PC,279.05,1,17301.1,
100,4500000007,00010,000000000000606098,Cable Harness 3m,P100,ROH1,164,PC,443.48,1,72730.72,
100,4500000007,00020,000000000000975192,Bearing Kit 608ZZ,P200,ROH2,174,PC,61.0,1,10614.0,
100,4500000007,00030,000000000000927468,Servo Motor 24V,P200,ROH1,167,PC,154.97,1,25879.99,
100,4500000008,00010,000000000000407197,Cable Harness 3m,P200,ROH1,133,PC,114.32,1,15204.56,
100,4500000008,00020,000000000000580416,Hydraulic Hose 1/2in,P200,ROH3,174,PC,265.84,1,46256.16,
100,4500000008,00030,000000000000635347,Aluminium Profile 40x40,P100,ROH1,9,PC,393.78,1,3544.02,
100,4500000009,00010,000000000000632840,Pressure Sensor 0-10bar,P100,ROH2,141,PC,364.85,1,51443.85,
100,4500000009,00020,000000000000243795,Pressure Sensor 0-10bar,P200,ROH2,111,PC,61.76,1,6855.36,
100,4500000009,00030,000000000000801992,Cable Harness 3m,P100,ROH1,82,PC,354.5,1,29069.0,
100,4500000010,00010,000000000000503014,Steel Sheet 2mm,P200,ROH1,89,PC,236.71,1,21067.19,
100,4500000010,00020,000000000000188144,Bearing Kit 608ZZ,P100,ROH2,72,PC,128.19,1,9229.68,
