MANDT,LIFNR,NAME1,LAND1,ORT01,STRAS,KTOKK
100,100001,Acme Supplies GmbH,DE,Muenchen,Industriestrasse 1,KRED
100,100002,Nordic Components AB,SE,Goeteborg,Industriestrasse 2,KRED
100,100003,Iberia Packaging SL,ES,Madrid,Industriestrasse 3,KRED
100,100004,Alpine Logistics SRL,IT,Torino,Industriestrasse 4,KRED
100,100005,Rhein Metall Teile AG,DE,Koeln,Industriestrasse 5,KRED
100,100006,Atlantic Fasteners Ltd,GB,Leeds,Industriestrasse 6,KRED
100,100007,Baltic Steel OU,EE,Tallinn,Industriestrasse 7,KRED
100,100008,Danube Electronics KFT,HU,Budapest,Industriestrasse 8,KRED
100,100009,Pyrenees Hydraulics SA,FR,Toulouse,Industriestrasse 9,KRED
100,100010,Carpathian Tools SRL,RO,Cluj,Industriestrasse 10,KRED
100,100011,Nordsee Maritime GmbH,DE,Hamburg,Industriestrasse 11,KRED
100,100012,Iberian Valves SL,ES,Bilbao,Industriestrasse 12,KRED
100,100013,Lombardia Meccanica SPA,IT,Milano,Industriestrasse 13,KRED
100,100014,Flanders Coating NV,BE,Antwerpen,Industriestrasse 14,KRED
100,100015,Helvetia Precision AG,CH,Zuerich,Industriestrasse 15,KRED
