MANDT,BELNR,GJAHR,BUKRS,LIFNR,BLDAT,BUDAT,WAERS,RMWWR,ERNAM,ZLSPR
100,5100000002,2026,1000,100006,20260324,20260325,EUR,7690.13,M.ROSSI,R
100,5100000003,2026,1000,100010,20260218,20260219,EUR,35397.88,L.BIANCHI,
100,5100000004,2026,1000,100002,20260316,20260317,EUR,17365.82,L.BIANCHI,
100,5100000005,2026,1000,100008,20260316,20260317,EUR,78800.99,L.BIANCHI,
100,5100000006,2026,1000,100006,20260304,20260305,EUR,427.93,L.BIANCHI,
100,5100000007,2026,1000,100012,20260210,20260211,EUR,90749.62,M.ROSSI,
100,5100000008,2026,1000,100006,20260119,20260120,EUR,107883.91,L.BIANCHI,R
100,5100000009,2026,1000,100009,20260317,20260318,EUR,64139.8,L.BIANCHI,
100,5100000010,2026,1000,100001,20260310,20260311,EUR,87061.11,L.BIANCHI,
100,5100000011,2026,1000,100002,20260201,20260202,EUR,20217.0,L.BIANCHI,
100,5100000012,2026,1000,100004,20260123,20260124,EUR,75363.81,M.ROSSI,
100,5100000013,2026,1000,100009,20260308,20260309,EUR,90042.52,A.MORETTI,
100,5100000014,2026,1000,100007,20260307,20260308,EUR,62950.22,L.BIANCHI,
100,5100000015,2026,1000,100007,20260202,20260203,EUR,135680.84,M.ROSSI,
100,5100000016,2026,1000,100015,20260215,20260216,EUR,84718.75,A.MORETTI,
100,5100000017,2026,1000,100008,20260215,20260216,EUR,6531.7,L.BIANCHI,
100,5100000018,2026,1000,100004,20260215,20260216,EUR,83209.83,A.MORETTI,
100,5100000019,2026,1000,100015,20260205,20260206,EUR,49315.07,L.BIANCHI,
100,5100000020,2026,1000,100012,20260317,20260318,EUR,142031.01,A.MORETTI,
100,5100000021,2026,1000,100006,20260128,20260129,EUR,110306.75,M.ROSSI,
100,5100000022,2026,1000,100004,20260217,20260218,EUR,49915.45,M.ROSSI,
100,5100000023,2026,1000,100008,20260308,20260309,EUR,61809.57,L.BIANCHI,
100,5100000024,2026,1000,100011,20260125,20260126,EUR,145588.65,L.BIANCHI,
100,5100000025,2026,1000,100010,20260309,20260310,EUR,141968.96,L.BIANCHI,
100,5100000026,2026,1000,100015,20260217,20260218,EUR,56406.66,L.BIANCHI,
100,5100000027,2026,1000,100015,20260213,20260214,EUR,63513.57,L.BIANCHI,
100,5100000028,2026,1000,100002,20260218,20260219,EUR,62988.01,L.BIANCHI,
100,5100000029,2026,1000,100014,20260202,20260203,EUR,57098.33,M.ROSSI,
100,5100000030,2026,1000,100001,20260130,20260131,EUR,9193.39,M.ROSSI,
100,5100000031,2026,1000,100011,20260220,20260221,EUR,64639.59,M.ROSSI,
100,5100000032,2026,1000,100002,20260302,20260303,EUR,77205.93,A.MORETTI,
100,5100000033,2026,1000,100002,20260211,20260212,EUR,123716.85,M.ROSSI,
100,5100000034,2026,1000,100015,20260119,20260120,EUR,28560.64,A.MORETTI,
100,5100000035,2026,1000,100006,20260225,20260226,EUR,27292.88,L.BIANCHI,
100,5100000036,2026,1000,100001,20260309,20260310,EUR,43577.27,M.ROSSI,
100,5100000037,2026,1000,100004,20260212,20260213,EUR,77347.45,L.BIANCHI,
100,5100000038,2026,1000,100006,20260201,20260202,EUR,119628.49,A.MORETTI,
100,5100000039,2026,1000,100011,20260116,20260117,EUR,7820.38,L.BIANCHI,
100,5100000040,2026,1000,100005,20260311,20260312,EUR,63175.28,M.ROSSI,
100,5100000041,2026,1000,100011,20260321,20260322,EUR,15778.79,A.MORETTI,
100,5100000042,2026,1000,100012,20260118,20260119,EUR,141594.64,L.BIANCHI,
100,5100000043,2026,1000,100013,20260223,20260224,EUR,79535.18,A.MORETTI,R
100,5100000044,2026,1000,100003,20260216,20260217,EUR,5318.34,A.MORETTI,
100,5100000045,2026,1000,100013,20260202,20260203,EUR,2579.44,L.BIANCHI,
100,5100000046,2026,1000,100006,20260306,20260307,EUR,19204.26,M.ROSSI,
100,5100000047,2026,1000,100006,20260208,20260209,EUR,11612.21,L.BIANCHI,
100,5100000048,2026,1000,100006,20260206,20260207,EUR,148140.21,M.ROSSI,
100,5100000049,2026,1000,100008,20260223,20260224,EUR,57342.77,M.ROSSI,
100,5100000050,2026,1000,100010,20260205,20260206,EUR,1889.1,M.ROSSI,
100,5100000051,2026,1000,100009,20260321,20260322,EUR,42427.26,L.BIANCHI,
100,5100000052,2026,1000,100008,20260224,20260225,EUR,101859.83,A.MORETTI,R
100,5100000053,2026,1000,100007,20260318,20260319,EUR,55853.73,M.ROSSI,
100,5100000054,2026,1000,100001,20260228,20260301,EUR,44380.01,A.MORETTI,
100,5100000055,2026,1000,100005,20260306,20260307,EUR,41215.81,M.ROSSI,
100,5100000056,2026,1000,100010,20260204,20260205,EUR,20318.19,L.BIANCHI,
100,5100000057,2026,1000,100010,20260201,20260202,EUR,27568.64,L.BIANCHI,
100,5100000058,2026,1000,100002,20260202,20260203,EUR,112833.85,A.MORETTI,
100,5100000059,2026,1000,100011,20260125,20260126,EUR,69357.58,M.ROSSI,
100,5100000060,2026,1000,100014,20260316,20260317,EUR,59408.12,L.BIANCHI,R
100,5100000061,2026,1000,100007,20260201,20260202,EUR,37947.57,A.MORETTI,
100,5100000062,2026,1000,100012,20260315,20260316,EUR,9980.65,A.MORETTI,R
100,5100000063,2026,1000,100003,20260206,20260207,EUR,45496.96,L.BIANCHI,
100,5100000064,2026,1000,100001,20260320,20260321,EUR,167986.79,M.ROSSI,
100,5100000065,2026,1000,100006,20260213,20260214,EUR,33807.74,M.ROSSI,R
100,5100000066,2026,1000,100008,20260131,20260201,EUR,7715.9,A.MORETTI,R
100,5100000067,2026,1000,100009,20260329,20260330,EUR,23999.77,A.MORETTI,
100,5100000068,2026,1000,100007,20260219,20260220,EUR,16633.25,L.BIANCHI,
100,5100000069,2026,1000,100002,20260129,20260130,EUR,34300.73,A.MORETTI,
100,5100000070,2026,1000,100001,20260130,20260131,EUR,24703.41,A.MORETTI,
100,5100000071,2026,1000,100006,20260218,20260219,EUR,29063.29,M.ROSSI,
100,5100000072,2026,1000,100005,20260326,20260327,EUR,11669.79,M.ROSSI,
100,5100000073,2026,1000,100001,20260220,20260221,EUR,22288.34,M.ROSSI,
100,5100000074,2026,1000,100010,20260204,20260205,EUR,42065.65,M.ROSSI,
100,5100000075,2026,1000,100004,20260129,20260130,EUR,14252.11,M.ROSSI,
100,5100000076,2026,1000,100002,20260212,20260213,EUR,30349.88,M.ROSSI,
100,5100000077,2026,1000,100005,20260306,20260307,EUR,110662.14,A.MORETTI,
100,5100000078,2026,1000,100013,20260130,20260131,EUR,83064.05,L.BIANCHI,
100,5100000079,2026,1000,100012,20260203,20260204,EUR,30560.63,M.ROSSI,
100,5100000080,2026,1000,100005,20260205,20260206,EUR,48409.55,L.BIANCHI,R
100,5100000081,2026,1000,100006,20260125,20260126,EUR,983.54,L.BIANCHI,
100,5100000082,2026,1000,100008,20260205,20260206,EUR,28896.11,L.BIANCHI,
100,5100000083,2026,1000,100005,20260129,20260130,EUR,81073.03,M.ROSSI,
100,5100000084,2026,1000,100009,20260123,20260124,EUR,29274.24,M.ROSSI,R
100,5100000085,2026,1000,100001,20260123,20260124,EUR,36197.43,L.BIANCHI,
100,5100000086,2026,1000,100010,20260304,20260305,EUR,92414.23,L.BIANCHI,
100,5100000087,2026,1000,100003,20260317,20260318,EUR,59259.64,M.ROSSI,R
100,5100000088,2026,1000,100013,20260228,20260301,EUR,48063.97,M.ROSSI,
