MANDT,BELNR,GJAHR,BUZEI,EBELN,EBELP,MATNR,MENGE,WRBTR,MWSKZ
100,5100000002,2026,001,4500000001,00010,,19,7726.73,V1
100,5100000003,2026,001,4500000002,00010,,143,8466.27,V1
100,5100000003,2026,002,4500000002,00020,,53,9041.34,V2
100,5100000003,2026,003,4500000002,00030,,85,17987.26,V1
100,5100000004,2026,001,4500000003,00010,,121,4578.15,V2
100,5100000004,2026,002,4500000003,00030,,93,1650.5,V1
100,5100000004,2026,003,4500000003,00040,,78,4999.51,V1
100,5100000005,2026,001,4500000004,00010,,99,26961.14,V1
100,5100000006,2026,001,4500000005,00010,,11,423.96,V1
100,5100000007,2026,001,4500000006,00010,,144,58708.91,V1
100,5100000007,2026,002,4500000006,00020,,71,16821.59,V2
100,5100000007,2026,003,4500000006,00030,,62,17205.3,V2
100,5100000008,2026,001,4500000007,00010,,164,71488.73,V2
100,5100000008,2026,002,4500000007,00020,,174,10476.1,V1
100,5100000008,2026,003,4500000007,00030,,167,25776.14,V1
100,5100000009,2026,001,4500000008,00010,,133,15061.86,V2
100,5100000009,2026,002,4500000008,00020,,174,45429.2,V1
100,5100000009,2026,003,4500000008,00030,,9,3492.77,V1
100,5100000010,2026,001,4500000009,00010,,141,51394.98,V2
100,5100000010,2026,002,4500000009,00020,,111,6740.57,V1
100,5100000010,2026,003,4500000009,00030,,82,28738.5,V2
100,5100000011,2026,001,4500000011,00010,,16,3840.44,V2
100,5100000011,2026,002,4500000011,00020,,17,1483.59,V2
100,5100000012,2026,001,4500000012,00010,,165,55222.35,V1
100,5100000012,2026,002,4500000012,00020,,67,20628.85,V2
100,5100000013,2026,001,4500000013,00010,,107,28501.54,V1
100,5100000013,2026,002,4500000013,00020,,197,14968.58,V1
100,5100000013,2026,003,4500000013,00030,,163,46731.89,V2
100,5100000014,2026,001,4500000014,00010,,121,43006.74,V2
100,5100000014,2026,002,4500000014,00020,,24,9006.13,V1
100,5100000014,2026,003,4500000014,00030,,102,4197.67,V2
100,5100000014,2026,004,4500000014,00040,,42,6424.6,V2
100,5100000015,2026,001,4500000015,00010,,159,58799.87,V2
100,5100000015,2026,002,4500000015,00020,,132,52433.07,V2
100,5100000016,2026,001,4500000016,00010,,73,14559.0,V2
100,5100000016,2026,002,4500000016,00020,,199,56707.09,V1
100,5100000016,2026,003,4500000016,00030,,197,13413.51,V1
100,5100000017,2026,001,4500000017,00010,,67,3190.69,V1
100,5100000017,2026,002,4500000017,00020,,10,3386.5,V2
100,5100000018,2026,001,4500000019,00010,,85,24432.15,V2
100,5100000018,2026,002,4500000019,00030,,175,34098.06,V1
100,5100000019,2026,001,4500000021,00010,,139,46430.84,V1
100,5100000019,2026,002,4500000021,00020,,48,2652.32,V2
100,5100000020,2026,001,4500000022,00010,,13,2762.74,V2
100,5100000020,2026,002,4500000022,00020,,90,38647.95,V1
100,5100000020,2026,003,4500000022,00030,,189,63851.6,V1
100,5100000020,2026,004,4500000022,00040,,103,36092.28,V1
100,5100000021,2026,001,4500000023,00010,,132,57827.57,V2
100,5100000021,2026,002,4500000023,00020,,142,53838.58,V2
100,5100000023,2026,001,4500000025,00010,,92,6363.58,V1
100,5100000023,2026,002,4500000025,00020,,192,56455.84,V1
100,5100000024,2026,001,4500000026,00010,,195,50178.53,V1
100,5100000024,2026,002,4500000026,00020,,191,35600.77,V1
100,5100000024,2026,003,4500000026,00040,,151,41925.44,V2
100,5100000025,2026,001,4500000027,00010,,60,1558.75,V2
100,5100000025,2026,002,4500000027,00020,,148,56073.62,V1
100,5100000025,2026,003,4500000027,00030,,165,57055.13,V2
100,5100000025,2026,004,4500000027,00040,,133,26570.58,V1
100,5100000026,2026,001,4500000028,00010,,78,33109.32,V1
100,5100000026,2026,002,4500000028,00020,,198,23201.33,V1
100,5100000027,2026,001,4500000029,00010,,167,64676.83,V1
100,5100000028,2026,001,4500000030,00010,,84,24016.92,V2
100,5100000028,2026,002,4500000030,00020,,115,21714.53,V1
100,5100000028,2026,003,4500000030,00030,,63,17367.13,V1
100,5100000029,2026,001,4500000033,00010,,60,2722.83,V1
100,5100000029,2026,002,4500000033,00020,,88,8010.92,V1
100,5100000029,2026,003,4500000033,00030,,125,46599.25,V1
100,5100000030,2026,001,4500000034,00010,,98,9408.24,V1
100,5100000031,2026,001,4500000035,00010,,91,17518.91,V2
100,5100000031,2026,002,4500000035,00020,,126,47650.26,V1
100,5100000032,2026,001,4500000036,00010,,77,28185.9,V1
100,5100000032,2026,002,4500000036,00020,,183,46229.75,V1
100,5100000032,2026,003,4500000036,00030,,170,3216.35,V2
100,5100000033,2026,001,4500000038,00010,,32,9226.44,V1
100,5100000033,2026,002,4500000038,00020,,116,36061.42,V2
100,5100000033,2026,003,4500000038,00030,,194,22264.29,V1
100,5100000033,2026,004,4500000038,00040,,189,55266.76,V1
100,5100000034,2026,001,4500000039,00010,,30,11306.69,V2
100,5100000034,2026,002,4500000039,00020,,92,17099.8,V2
100,5100000035,2026,001,4500000040,00010,,59,4748.26,V2
100,5100000035,2026,002,4500000040,00020,,62,22677.69,V2
100,5100000036,2026,001,4500000041,00010,,114,31936.16,V1
100,5100000036,2026,002,4500000041,00020,,26,9661.52,V1
100,5100000036,2026,003,4500000041,00030,,173,2256.31,V2
100,5100000037,2026,001,4500000042,00010,,40,8529.39,V2
100,5100000037,2026,002,4500000042,00020,,143,38961.87,V1
100,5100000037,2026,003,4500000042,00030,,80,30007.52,V1
100,5100000038,2026,001,4500000043,00010,,18,6606.72,V1
100,5100000038,2026,002,4500000043,00020,,93,40550.47,V2
100,5100000038,2026,003,4500000043,00030,,155,66762.23,V1
100,5100000038,2026,004,4500000043,00040,,151,4473.12,V1
100,5100000039,2026,001,4500000044,00010,,13,1921.78,V1
100,5100000039,2026,002,4500000044,00030,,8,2429.73,V1
100,5100000040,2026,001,4500000045,00010,,196,62131.2,V1
100,5100000041,2026,001,4500000046,00020,,46,13125.72,V2
100,5100000042,2026,001,4500000047,00010,,101,27168.07,V2
100,5100000042,2026,002,4500000047,00020,,113,8625.36,V2
100,5100000042,2026,003,4500000047,00030,,145,44607.75,V2
100,5100000042,2026,004,4500000047,00040,,197,63431.41,V1
100,5100000043,2026,001,4500000048,00010,,43,5020.1,V1
100,5100000043,2026,002,4500000048,00020,,85,22950.93,V1
100,5100000043,2026,003,4500000048,00030,,155,39368.67,V2
100,5100000043,2026,004,4500000048,00040,,29,12275.28,V2
100,5100000044,2026,001,4500000049,00010,,95,3205.07,V2
100,5100000044,2026,002,4500000049,00020,,30,2133.0,V2
100,5100000045,2026,001,4500000050,00010,,61,2565.97,V2
100,5100000046,2026,001,4500000051,00010,,193,6320.4,V1
100,5100000046,2026,002,4500000051,00020,,110,12835.28,V1
100,5100000047,2026,001,4500000052,00010,,19,7018.65,V1
100,5100000047,2026,002,4500000052,00020,,118,1027.64,V1
100,5100000047,2026,003,4500000052,00030,,51,3486.7,V1
100,5100000048,2026,001,4500000053,00010,,73,8584.54,V1
100,5100000048,2026,002,4500000053,00020,,138,57771.44,V2
100,5100000048,2026,003,4500000053,00030,,197,79296.8,V1
100,5100000048,2026,004,4500000053,00040,,136,2581.24,V1
100,5100000049,2026,001,4500000054,00010,,156,16615.52,V2
100,5100000049,2026,002,4500000054,00020,,9,3776.53,V1
100,5100000049,2026,003,4500000054,00030,,18,6321.19,V2
100,5100000049,2026,004,4500000054,00040,,87,31915.54,V1
100,5100000050,2026,001,4500000055,00010,,138,1935.82,V2
100,5100000051,2026,001,4500000056,00010,,78,9972.0,V2
100,5100000051,2026,002,4500000056,00020,,171,30112.31,V1
