gr_number,po_number,po_line_no,gr_date,quantity_received,posted_by
GR-9000001,PO-4500001,1,2026-01-08,15,m.rossi
GR-9000002,PO-4500001,2,2026-01-19,33,m.rossi
GR-9000003,PO-4500002,1,2026-02-06,49,l.bianchi
GR-9000004,PO-4500003,2,2026-02-25,15,l.bianchi
GR-9000005,PO-4500003,3,2026-02-14,23,m.rossi
GR-9000006,PO-4500004,1,2026-02-05,3,l.bianchi
GR-9000007,PO-4500005,2,,26,m.rossi
GR-9000008,PO-4500005,3,2026-01-24,41,a.moretti
GR-9000009,PO-4500006,1,2026-01-16,49,a.moretti
GR-9000010,PO-4500006,2,2026-01-15,47,l.bianchi
GR-9000011,PO-4500006,3,2026-01-16,41,a.moretti
GR-9000012,PO-4500008,1,2026-02-12,8,m.rossi
GR-9000013,PO-4500008,2,2026-02-04,1,m.rossi
GR-9000014,PO-4500009,1,2026-01-29,13,m.rossi
GR-9000015,PO-4500009,2,2026-01-27,44,m.rossi
GR-9000016,PO-4500010,2,2026-01-14,49,m.rossi
GR-9000017,PO-4500011,1,2026-01-17,35,a.moretti
GR-9000018,PO-4500011,3,2026-01-19,5,a.moretti
GR-9000019,PO-4500012,1,2026-02-08,26,m.rossi
GR-9000020,PO-4500012,2,2026-01-30,30,m.rossi
GR-9000021,PO-4500013,1,2026-02-18,40,a.moretti
GR-9000022,PO-4500013,2,2026-02-11,7,m.rossi
GR-9000023,PO-4500014,1,2026-02-13,4,a.moretti
GR-9000024,PO-4500014,2,2026-02-09,14,m.rossi
GR-9000025,PO-4500015,1,2026-02-12,14,a.moretti
GR-9000026,PO-4500016,1,2026-01-29,27,m.rossi
GR-9000027,PO-4500016,2,2026-01-30,31,m.rossi
GR-9000028,PO-4500017,2,2026-02-14,17,l.bianchi
GR-9000029,PO-4500017,3,2026-02-17,28,m.rossi
GR-9000030,PO-4500018,1,2026-01-31,43,l.bianchi
GR-9000031,PO-4500019,1,2026-01-31,12,m.rossi
GR-9000032,PO-4500019,2,2026-02-07,28,a.moretti
GR-9000033,PO-4500019,3,2026-02-10,31,l.bianchi
GR-9000034,PO-4500020,1,2026-02-07,8,a.moretti
GR-9000035,PO-4500021,1,2026-01-16,12,m.rossi
GR-9000036,PO-4500022,1,2026-02-24,48,a.moretti
GR-9000037,PO-4500023,1,2026-02-16,10,l.bianchi
GR-9000038,PO-4500024,1,2026-02-10,20,m.rossi
GR-9000039,PO-4500024,2,2026-02-08,25,a.moretti
GR-9000040,PO-4500025,1,2026-01-17,9,l.bianchi
GR-9000041,PO-4500025,2,,22,m.rossi
GR-9000042,PO-4500026,1,2026-01-09,2,m.rossi
GR-9000043,PO-4500028,1,2026-02-17,33,l.bianchi
GR-9000044,PO-4500028,2,2026-02-18,7,a.moretti
GR-9000045,PO-4500029,1,2026-02-06,18,m.rossi
GR-9000046,PO-4500030,1,2026-02-15,17,m.rossi
GR-9000047,PO-4500030,2,2026-02-17,16,l.bianchi
