invoice_number,po_number,invoice_date,invoice_amount,currency,posted_by,payment_status,payment_date
INV-7000001,PO-4500001,2026-01-11,11899.1,EUR,l.bianchi,Open,
INV-7000002,PO-4500002,2026-02-13,8573.33,EUR,l.bianchi,Paid,2026-02-28
INV-7000003,PO-4500003,2026-02-23,9329.07,EUR,a.moretti,Open,
INV-7000004,PO-4500004,2026-02-11,1207.66,EUR,m.rossi,Open,
INV-7000005,PO-4500006,2026-02-01,24435.48,EUR,l.bianchi,Paid,2026-02-15
INV-7000006,PO-4500007,2026-01-19,15257.71,EUR,a.moretti,Open,
INV-7000007,PO-4500008,2026-02-22,1125.01,EUR,a.moretti,Paid,2026-03-01
INV-7000008,PO-4500009,2026-02-11,15143.27,EUR,l.bianchi,Paid,2026-02-27
INV-7000009,PO-4500010,2026-01-31,22972.95,EUR,l.bianchi,Paid,2026-02-18
INV-7000010,PO-4500011,2026-01-26,3497.56,EUR,l.bianchi,Paid,2026-02-14
INV-7000011,PO-4500012,2026-01-22,11382.91,EUR,m.rossi,Open,
INV-7000012,PO-4500013,2026-02-19,22613.44,EUR,a.moretti,Open,
INV-7000013,PO-4500014,2026-02-22,1805.5,EUR,m.rossi,Paid,2026-03-01
INV-7000014,PO-4500016,2026-02-02,14709.69,EUR,l.bianchi,Paid,2026-02-07
INV-7000015,PO-4500017,2026-02-27,16373.45,EUR,a.moretti,Open,
INV-7000016,PO-4500018,2026-02-15,19670.63,EUR,m.rossi,Paid,2026-02-27
INV-7000017,PO-4500020,2026-02-10,263.92,EUR,a.moretti,Paid,2026-02-20
INV-7000018,PO-4500021,2026-01-30,4820.56,EUR,l.bianchi,Paid,2026-02-19
INV-7000019,PO-4500022,2026-02-22,20457.76,EUR,l.bianchi,Paid,2026-03-06
INV-7000020,PO-4500023,2026-02-26,1267.96,EUR,a.moretti,Paid,2026-03-01
INV-7000021,PO-4500025,2026-02-01,12179.23,EUR,m.rossi,Paid,2026-02-15
INV-7000022,PO-4500026,2026-01-22,629.89,EUR,m.rossi,Paid,2026-01-28
INV-7000023,PO-4500027,2026-01-08,5779.49,EUR,l.bianchi,Paid,2026-01-18
INV-7000024,PO-4500028,2026-03-04,9273.1,EUR,a.moretti,Open,
INV-7000025,PO-4500030,2026-02-17,8765.52,EUR,a.moretti,Paid,2026-02-27
