po_number,po_line_no,material,quantity,unit_price,line_amount,plant
PO-4500001,1,Steel Sheet,16,123.26,1972.16,P100
PO-4500001,2,Gasket Set,33,306.98,10130.34,P100
PO-4500002,1,Steel Sheet,49,178.25,8734.25,P200
PO-4500003,1,Bearing Kit,5,37.22,186.1,P200
PO-4500003,2,Cable Harness,15,435.24,6528.6,P200
PO-4500003,3,Control Valve,23,116.61,2682.03,P100
PO-4500004,1,Cable Harness,3,405.45,1216.35,P200
PO-4500005,1,Gasket Set,36,276.4,9950.4,P200
PO-4500005,2,Bearing Kit,26,190.57,4954.82,P200
PO-4500005,3,Cable Harness,41,92.59,3796.19,P100
PO-4500006,1,Control Valve,49,144.41,7076.09,P100
PO-4500006,2,Gasket Set,47,142.74,6708.78,P100
PO-4500006,3,Bearing Kit,41,261.22,10710.02,P100
PO-4500007,1,Cable Harness,6,56.54,339.24,P100
PO-4500007,2,Bearing Kit,35,386.43,13525.05,P200
PO-4500007,3,Gasket Set,11,143.55,1579.05,P200
PO-4500008,1,Steel Sheet,8,135.23,1081.84,P200
PO-4500008,2,Steel Sheet,1,49.43,49.43,P100
PO-4500009,1,Cable Harness,13,60.75,789.75,P200
PO-4500009,2,Steel Sheet,44,331.93,14604.92,P100
PO-4500010,1,Gasket Set,7,39.54,276.78,P100
PO-4500010,2,Bearing Kit,49,426.62,20904.38,P200
PO-4500010,3,Cable Harness,11,198.8,2186.8,P200
PO-4500011,1,Control Valve,35,44.56,1559.6,P100
PO-4500011,2,Gasket Set,11,42.59,468.49,P100
PO-4500011,3,Bearing Kit,5,303.59,1517.95,P200
PO-4500012,1,Control Valve,26,78.48,2040.48,P200
PO-4500012,2,Gasket Set,30,316.26,9487.8,P100
PO-4500013,1,Gasket Set,40,492.17,19686.8,P100
PO-4500013,2,Bearing Kit,7,470.38,3292.66,P200
PO-4500014,1,Cable Harness,4,59.76,239.04,P200
PO-4500014,2,Cable Harness,17,93.37,1587.29,P200
PO-4500015,1,Steel Sheet,14,345.8,4841.2,P200
PO-4500015,2,Bearing Kit,48,89.96,4318.08,P100
PO-4500016,1,Bearing Kit,27,404.08,10910.16,P200
PO-4500016,2,Cable Harness,31,122.88,3809.28,P200
PO-4500017,1,Steel Sheet,35,175.61,6146.35,P100
PO-4500017,2,Control Valve,17,101.61,1727.37,P100
PO-4500017,3,Gasket Set,28,309.01,8652.28,P100
PO-4500018,1,Gasket Set,43,461.57,19847.51,P200
PO-4500019,1,Control Valve,12,313.52,3762.24,P200
PO-4500019,2,Gasket Set,28,396.09,11090.52,P200
PO-4500019,3,Bearing Kit,31,399.96,12398.76,P100
PO-4500020,1,Bearing Kit,10,26.85,268.5,P200
PO-4500021,1,Gasket Set,12,404.99,4859.88,P200
PO-4500022,1,Cable Harness,48,432.83,20775.84,P200
PO-4500023,1,Bearing Kit,10,127.16,1271.6,P100
PO-4500024,1,Cable Harness,20,380.44,7608.8,P100
PO-4500024,2,Cable Harness,25,178.02,4450.5,P100
PO-4500025,1,Bearing Kit,9,435.42,3918.78,P100
PO-4500025,2,Cable Harness,22,384.2,8452.4,P200
PO-4500026,1,Bearing Kit,2,316.35,632.7,P100
PO-4500027,1,Cable Harness,20,294.26,5885.2,P200
PO-4500028,1,Control Valve,35,222.76,7796.6,P100
PO-4500028,2,Control Valve,7,225.26,1576.82,P200
PO-4500029,1,Bearing Kit,18,442.59,7966.62,P200
PO-4500030,1,Gasket Set,17,180.06,3061.02,P200
PO-4500030,2,Cable Harness,16,364.24,5827.84,P100
