po_number,vendor_id,vendor_name,created_date,created_by,po_status,currency,total_amount
PO-4500001,V-100,Acme Supplies GmbH,2026-01-06,a.moretti,Released,EUR,12102.5
PO-4500002,V-102,Iberia Packaging SL,2026-01-22,m.rossi,Released,EUR,8734.25
PO-4500003,V-102,Iberia Packaging SL,2026-02-10,m.rossi,Released,EUR,9396.73
PO-4500004,V-101,Nordic Components AB,2026-01-25,m.rossi,Released,EUR,1216.35
PO-4500005,V-102,Iberia Packaging SL,2026-01-13,m.rossi,Released,EUR,18701.41
PO-4500006,V-100,Acme Supplies GmbH,2026-01-12,a.moretti,Released,EUR,24494.89
PO-4500007,V-101,Nordic Components AB,2026-01-08,m.rossi,Blocked,EUR,15443.34
PO-4500008,V-102,Iberia Packaging SL,2026-02-02,a.moretti,Blocked,EUR,1131.27
PO-4500009,V-103,Alpine Logistics SRL,2026-01-20,l.bianchi,Released,EUR,15394.67
PO-4500010,V-101,Nordic Components AB,2026-01-09,l.bianchi,Released,EUR,23367.96
PO-4500011,V-101,Nordic Components AB,2026-01-08,a.moretti,Released,EUR,3546.04
PO-4500012,V-101,Nordic Components AB,2026-01-25,m.rossi,Released,EUR,11528.28
PO-4500013,V-103,Alpine Logistics SRL,2026-02-08,a.moretti,Released,EUR,22979.46
PO-4500014,V-102,Iberia Packaging SL,2026-02-06,l.bianchi,Blocked,EUR,1826.33
PO-4500015,V-102,Iberia Packaging SL,2026-01-28,m.rossi,Released,EUR,9159.28
PO-4500016,V-100,Acme Supplies GmbH,2026-01-16,a.moretti,Released,EUR,14719.44
PO-4500017,V-102,Iberia Packaging SL,2026-02-06,l.bianchi,Blocked,EUR,16526.0
PO-4500018,V-101,Nordic Components AB,2026-01-28,l.bianchi,Blocked,EUR,19847.51
PO-4500019,V-103,Alpine Logistics SRL,2026-01-29,a.moretti,Released,EUR,27251.52
PO-4500020,V-101,Nordic Components AB,2026-01-24,m.rossi,Blocked,EUR,268.5
PO-4500021,V-100,Acme Supplies GmbH,2026-01-11,l.bianchi,Released,EUR,4859.88
PO-4500022,V-103,Alpine Logistics SRL,2026-02-09,l.bianchi,Released,EUR,20775.84
PO-4500023,V-102,Iberia Packaging SL,2026-02-08,m.rossi,Released,EUR,1271.6
PO-4500024,V-103,Alpine Logistics SRL,2026-02-04,m.rossi,Released,EUR,12059.3
PO-4500025,V-100,Acme Supplies GmbH,2026-01-10,a.moretti,Released,EUR,12371.18
PO-4500026,V-100,Acme Supplies GmbH,2026-01-06,m.rossi,Released,EUR,632.7
PO-4500027,V-102,Iberia Packaging SL,2026-01-11,a.moretti,Released,EUR,5885.2
PO-4500028,V-100,Acme Supplies GmbH,2026-02-10,m.rossi,Blocked,EUR,9373.42
PO-4500029,V-102,Iberia Packaging SL,2026-01-25,m.rossi,Released,EUR,7966.62
PO-4500030,V-101,Nordic Components AB,2026-02-05,m.rossi,Released,EUR,8888.86
